demand_key,status,price
1041248|2026-06-01,SPOT_NOT_CALCULATED,
1041250|2026-06-01,FORMULA_NOT_FOUND,
1023511|2026-07-01,FORMULA_NOT_FOUND,
1023520|2026-07-01,FORMULA_NOT_FOUND,
1023544|2026-07-01,FORMULA_NOT_FOUND,
1023795|2026-07-01,SPOT_NOT_CALCULATED,
1023832|2026-07-01,SPOT_NOT_CALCULATED,
1023900|2026-07-01,FORMULA_NOT_FOUND,
1023904|2026-07-01,CALCULATED,99440.6
1024026|2026-07-01,COMPONENT_ERROR,
1024033|2026-07-01,FORMULA_NOT_FOUND,
1024150|2026-07-01,FORMULA_NOT_FOUND,
1024218|2026-07-01,CALCULATED,102200.0
1024222|2026-07-01,FORMULA_NOT_FOUND,
1024237|2026-07-01,COMPONENT_ERROR,
1024260|2026-07-01,CALCULATED,121180.0
1024308|2026-07-01,SPOT_NOT_CALCULATED,
1024316|2026-07-01,COMPONENT_ERROR,
1024317|2026-07-01,COMPONENT_ERROR,
1024318|2026-07-01,COMPONENT_ERROR,
1024319|2026-07-01,COMPONENT_ERROR,
1024328|2026-07-01,SPOT_NOT_CALCULATED,
1024337|2026-07-01,SPOT_NOT_CALCULATED,
1024343|2026-07-01,FORMULA_NOT_FOUND,
1024350|2026-07-01,FORMULA_NOT_FOUND,
1024382|2026-07-01,SPOT_NOT_CALCULATED,
1024496|2026-07-01,COMPONENT_ERROR,
1024531|2026-07-01,COMPONENT_ERROR,
1024534|2026-07-01,CALCULATED,113651.84235407878
1024540|2026-07-01,FORMULA_NOT_FOUND,
1024550|2026-07-01,SPOT_NOT_CALCULATED,
1024566|2026-07-01,COMPONENT_ERROR,
1024567|2026-07-01,COMPONENT_ERROR,
1024568|2026-07-01,FORMULA_NOT_FOUND,
1024668|2026-07-01,FORMULA_NOT_FOUND,
1024669|2026-07-01,FORMULA_NOT_FOUND,
1024822|2026-07-01,FORMULA_NOT_FOUND,
1024842|2026-07-01,SPOT_NOT_CALCULATED,
1024856|2026-07-01,FORMULA_NOT_FOUND,
1025129|2026-07-01,FORMULA_NOT_FOUND,
1025145|2026-07-01,SPOT_NOT_CALCULATED,
1025449|2026-07-01,FORMULA_NOT_FOUND,
1025534|2026-07-01,SPOT_NOT_CALCULATED,
1025656|2026-07-01,FORMULA_NOT_FOUND,
1025820|2026-07-01,FORMULA_NOT_FOUND,
1025885|2026-07-01,FORMULA_NOT_FOUND,
1025894|2026-07-01,FORMULA_NOT_FOUND,
1025942|2026-07-01,COMPONENT_ERROR,
1025943|2026-07-01,COMPONENT_ERROR,
1026048|2026-07-01,CALCULATED,104390.0
1026170|2026-07-01,SPOT_NOT_CALCULATED,
1026207|2026-07-01,CALCULATED,100964.11
1026255|2026-07-01,CALCULATED,74159.81036367657
1026339|2026-07-01,SPOT_NOT_CALCULATED,
1026477|2026-07-01,SPOT_NOT_CALCULATED,
1026488|2026-07-01,FORMULA_NOT_FOUND,
1026608|2026-07-01,FORMULA_NOT_FOUND,
1026842|2026-07-01,CALCULATED,121180.0
1026880|2026-07-01,FORMULA_NOT_FOUND,
1027118|2026-07-01,SPOT_NOT_CALCULATED,
1027223|2026-07-01,SPOT_NOT_CALCULATED,
1027246|2026-07-01,SPOT_NOT_CALCULATED,
1027263|2026-07-01,SPOT_NOT_CALCULATED,
1027294|2026-07-01,COMPONENT_ERROR,
1027355|2026-07-01,COMPONENT_ERROR,
1027356|2026-07-01,FORMULA_NOT_FOUND,
1027363|2026-07-01,COMPONENT_ERROR,
1027393|2026-07-01,SPOT_NOT_CALCULATED,
1027568|2026-07-01,FORMULA_NOT_FOUND,
1027986|2026-07-01,FORMULA_NOT_FOUND,
1028081|2026-07-01,SPOT_NOT_CALCULATED,
1028100|2026-07-01,CALCULATED,1044.9786235461202
1028420|2026-07-01,COMPONENT_ERROR,
1028421|2026-07-01,COMPONENT_ERROR,
1028422|2026-07-01,COMPONENT_ERROR,
1028854|2026-07-01,FORMULA_NOT_FOUND,
1029091|2026-07-01,FORMULA_NOT_FOUND,
1030562|2026-07-01,SPOT_NOT_CALCULATED,
1031251|2026-07-01,FORMULA_NOT_FOUND,
1032215|2026-07-01,FORMULA_NOT_FOUND,
1032221|2026-07-01,CALCULATED,102942.4246
1032223|2026-07-01,FORMULA_NOT_FOUND,
1032243|2026-07-01,COMPONENT_ERROR,
1032247|2026-07-01,CALCULATED,117732.08742181836
1032258|2026-07-01,COMPONENT_ERROR,
1032263|2026-07-01,FORMULA_NOT_FOUND,
1032281|2026-07-01,FORMULA_NOT_FOUND,
1032284|2026-07-01,FORMULA_NOT_FOUND,
1032306|2026-07-01,FORMULA_NOT_FOUND,
1032308|2026-07-01,FORMULA_NOT_FOUND,
1032325|2026-07-01,COMPONENT_ERROR,
1032402|2026-07-01,FORMULA_NOT_FOUND,
1032410|2026-07-01,FORMULA_NOT_FOUND,
1032418|2026-07-01,FORMULA_NOT_FOUND,
1032474|2026-07-01,FORMULA_NOT_FOUND,
1032555|2026-07-01,FORMULA_NOT_FOUND,
1032566|2026-07-01,COMPONENT_ERROR,
1032653|2026-07-01,SPOT_NOT_CALCULATED,
1032666|2026-07-01,FORMULA_NOT_FOUND,
1032687|2026-07-01,FORMULA_NOT_FOUND,
1032713|2026-07-01,FORMULA_NOT_FOUND,
1032831|2026-07-01,FORMULA_NOT_FOUND,
1032906|2026-07-01,FORMULA_NOT_FOUND,
1032915|2026-07-01,COMPONENT_ERROR,
1032932|2026-07-01,SPOT_NOT_CALCULATED,
1032975|2026-07-01,FORMULA_NOT_FOUND,
1033003|2026-07-01,FORMULA_NOT_FOUND,
1033075|2026-07-01,FORMULA_NOT_FOUND,
1033203|2026-07-01,FORMULA_NOT_FOUND,
1033229|2026-07-01,FORMULA_NOT_FOUND,
1033243|2026-07-01,FORMULA_NOT_FOUND,
1033269|2026-07-01,FORMULA_NOT_FOUND,
1033294|2026-07-01,FORMULA_NOT_FOUND,
1033311|2026-07-01,FORMULA_NOT_FOUND,
1033352|2026-07-01,FORMULA_NOT_FOUND,
1033362|2026-07-01,FORMULA_NOT_FOUND,
1033371|2026-07-01,FORMULA_NOT_FOUND,
1033381|2026-07-01,FORMULA_NOT_FOUND,
1033446|2026-07-01,CALCULATED,86609.5725
