"row_id","period","customer_asv","customer","mtr_nsi_code","mtr_nsi_name","contract","currency","forecast","country","region","market","client_id","client_name"
"1035071","2026-08-01 00:00:00","16945","ООО ПКФ ""АТЛАНТИС-ПАК""","721362","Полиэтилентерефталат высоковязкий гранулят г/п ТУ 2226-008-39989731-2009","Formula","RUB","44","Russian Federation","Highlands-Altay Rep.","RF + CIS","CL-10123","Клиент 123"
"1035099","2026-08-01 00:00:00","11703","ООО ""АВС-КОНТИНЕНТ""","1046019","Смола пиролизная тяжелая ТУ 20.59.59-015-81060768-2019","Formula","RUB","640","Russian Federation","The Leningrad Area","RF + CIS","CL-10021","Клиент 021"
"1035132","2026-08-01 00:00:00","8494","""АЛПЛА"" ООО","721362","Полиэтилентерефталат высоковязкий гранулят г/п ТУ 2226-008-39989731-2009","Formula","RUB","902","Russian Federation","The Moscow Area","RF + CIS","CL-10391","Клиент 391"
"1035133","2026-08-01 00:00:00","8494","""АЛПЛА"" ООО","1203330","Полиэтилентерефталат VIVILEN rPET г/п втор сырья 13,3 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","198","Russian Federation","The Moscow Area","RF + CIS","CL-10391","Клиент 391"
"1035153","2026-08-01 00:00:00","319065","ООО ""ПК ПЭТ-СТАНДАРТ""","407335","Полиэтилентерефталат ПЭТФ, гранулят, ТУ 2226-001-55588670-2007","Formula","RUB","600","Russian Federation","The Tver Area","RF + CIS","CL-10278","Клиент 278"
"1035164","2026-08-01 00:00:00","262328","ООО ""УНИПЛАСТ""","721362","Полиэтилентерефталат высоковязкий гранулят г/п ТУ 2226-008-39989731-2009","Formula","RUB","350","Russian Federation","Highlands-Altay Rep.","RF + CIS","CL-10169","Клиент 169"
"1035165","2026-08-01 00:00:00","285736","ООО ""ПЭТ ПЛАСТ""","721362","Полиэтилентерефталат высоковязкий гранулят г/п ТУ 2226-008-39989731-2009","Formula","RUB","320","Russian Federation","Highlands-Altay Rep.","RF + CIS","CL-10209","Клиент 209"
"1035175","2026-08-01 00:00:00","262328","ООО ""УНИПЛАСТ""","1203330","Полиэтилентерефталат VIVILEN rPET г/п втор сырья 13,3 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","300","Russian Federation","Highlands-Altay Rep.","RF + CIS","CL-10169","Клиент 169"
"1035186","2026-08-01 00:00:00","15674","ООО ""МУЛТОН ПАРТНЕРС""","721362","Полиэтилентерефталат высоковязкий гранулят г/п ТУ 2226-008-39989731-2009","Formula","RUB","264","Russian Federation","The Sverdlovsk Area","RF + CIS","CL-10096","Клиент 096"
"1035188","2026-08-01 00:00:00","15674","ООО ""МУЛТОН ПАРТНЕРС""","721362","Полиэтилентерефталат высоковязкий гранулят г/п ТУ 2226-008-39989731-2009","Formula","RUB","154","Russian Federation","The Novosibirsk Area","RF + CIS","CL-10096","Клиент 096"
"1035189","2026-08-01 00:00:00","15674","ООО ""МУЛТОН ПАРТНЕРС""","721362","Полиэтилентерефталат высоковязкий гранулят г/п ТУ 2226-008-39989731-2009","Formula","RUB","44","Russian Federation","Krasnoyarsk Territor","RF + CIS","CL-10096","Клиент 096"
"1035190","2026-08-01 00:00:00","15674","ООО ""МУЛТОН ПАРТНЕРС""","721362","Полиэтилентерефталат высоковязкий гранулят г/п ТУ 2226-008-39989731-2009","Formula","RUB","66","Russian Federation","The Rostov Area","RF + CIS","CL-10096","Клиент 096"
"1035191","2026-08-01 00:00:00","15674","ООО ""МУЛТОН ПАРТНЕРС""","1602311","Полиэтилентерефталат VIVILEN rPET, г/п, втор. сырья 23,5 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","418","Russian Federation","The Sverdlovsk Area","RF + CIS","CL-10096","Клиент 096"
"1035192","2026-08-01 00:00:00","15674","ООО ""МУЛТОН ПАРТНЕРС""","1602311","Полиэтилентерефталат VIVILEN rPET, г/п, втор. сырья 23,5 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","198","Russian Federation","The Novosibirsk Area","RF + CIS","CL-10096","Клиент 096"
"1035193","2026-08-01 00:00:00","15674","ООО ""МУЛТОН ПАРТНЕРС""","1602311","Полиэтилентерефталат VIVILEN rPET, г/п, втор. сырья 23,5 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","220","Russian Federation","The Leningrad Area","RF + CIS","CL-10096","Клиент 096"
"1035194","2026-08-01 00:00:00","15674","ООО ""МУЛТОН ПАРТНЕРС""","1602311","Полиэтилентерефталат VIVILEN rPET, г/п, втор. сырья 23,5 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","308","Russian Federation","The Rostov Area","RF + CIS","CL-10096","Клиент 096"
"1035196","2026-08-01 00:00:00","336344","ООО ""ИДС БОРЖОМИ""","721362","Полиэтилентерефталат высоковязкий гранулят г/п ТУ 2226-008-39989731-2009","Formula","RUB","506","Russian Federation","The Moscow Area","RF + CIS","CL-10301","Клиент 301"
"1035198","2026-08-01 00:00:00","336344","ООО ""ИДС БОРЖОМИ""","1203330","Полиэтилентерефталат VIVILEN rPET г/п втор сырья 13,3 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","176","Russian Federation","The Moscow Area","RF + CIS","CL-10301","Клиент 301"
"1035228","2026-08-01 00:00:00","2590","ООО ""ПОЛИПЛАСТ НОВОМОСКОВСК""","777801","Раствор водный натриевых солей (поли)акриловой кислоты ТУ 2432-050-52470175-2013","Formula","RUB","450","Russian Federation","The Tula Area","RF + CIS","CL-10167","Клиент 167"
"1035233","2026-08-01 00:00:00","348402","ТЕХНИЧЕСКИЙ КЛИЕНТ СПОТ E-COM ЭТП","1464690","Абсорбент 50/370 марка Б, ТУ 20.14.11-244-05766801-2020 изм.2","Spot","RUB","200","Russian Federation","Tatarstan Republic","RF + CIS","CL-10318","Клиент 318"
"1035253","2026-08-01 00:00:00","19916","АО ""ВБД""","1596835","Полиэтилентерефталат VIVILEN rPET г/п втор сырья 30 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","88","Russian Federation","The Samara Area","RF + CIS","CL-10145","Клиент 145"
"1035254","2026-08-01 00:00:00","54112","ООО ""ПЕПСИКО ХОЛДИНГС""","1596835","Полиэтилентерефталат VIVILEN rPET г/п втор сырья 30 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","66","Russian Federation","The Sverdlovsk Area","RF + CIS","CL-10351","Клиент 351"
