"hname","code_nsi","V_MTR_name","mtr_pf_name_lvl_2","mtr_pf_name_lvl_3","tlevel","datuv","datub","leaf"
"MT00000047","733294","Полиэтилентерефталат категорированный, гранулят, категория 2, 20.16.40-012-55588670-2019","ПЭТФ","ПЭТФ Прочие","02","1900-01-01","9999-12-31","X"
"MT00000081","189529","Полипропилен, марка PP H270 GP/1 ТУ 2211-112-70353562-2015","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","1006121","Полипропилен, марка PP H030 GP/3, ТУ 20.16.51-007-81060768-2018","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","159852","Полипропилен, марка SIBEX PP H270 FF/1 ТУ 2211-112-70353562-2015","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","144799","Полипропилен, марка SIBEX PP H451 IM/1 ТУ 2211-112-70353562-2015","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","1063003","Полипропилен, марка SIBEX PP I452 IM/3, ТУ 20.16.51-007-81060768-2018","ПП","ПП Блоксополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","739867","Полипропилен, марка PP H350 GP/2 ТУ 2211-001-14596232-2012","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","1182934","***Полипропилен, марка PP 8400N ТУ 20.16.51-136-05766801-2015","ПП","ПП Прочие","02","1900-01-01","9999-12-31","X"
"MT00000081","1380966","Полипропилен, марка SIBEX PP I602 IM/5 ТУ 20.16.51-136-05766801-2015","ПП","ПП Блоксополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","1380972","Полипропилен, марка PP I013 GP/5 ТУ 20.16.51-136-05766801-2015","ПП","ПП Блоксополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","1303885","***Полипропилен, марка PP 8310G ТТ 981941","ПП","ПП Прочие","02","1900-01-01","9999-12-31","X"
"MT00000081","1062981","Полипропилен, марка SIBEX PP I013 EX/3, ТУ 20.16.51-007-81060768-2018","ПП","ПП Блоксополимер","02","1900-01-01","9999-12-31","X"
"MT00000081","1807123","Полипропилен, марка SIBEX PP T085 CF/5 ТС НКНХ-038-2024","ПП","ПП Блоксополимер","02","1900-01-01","9999-12-31","X"
"MT00000105","176320","Полиэтилен, марка PE LD03210 FE ТУ 20.16.10-111-70353562-2016","ПЭ","ПЭНП","02","1900-01-01","9999-12-31","X"
"MT00000107","159852","Полипропилен, марка SIBEX PP H270 FF/1 ТУ 2211-112-70353562-2015","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000109","1006089","***Полипропилен, марка PP H120 GP/3, ТУ 20.16.51-007-81060768-2018","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000110","1063007","Полипропилен, марка SIBEX PP H263 FF/3 ТУ 20.16.51-007-81060768-2018","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00000110","1884011","Полипропилен, марка PP H253 FF/8, ТУ 20.16.51-001-76332549-2016","ПП","ПП Гомополимер","02","1900-01-01","9999-12-31","X"
"MT00002015","949857","Полистирол вспенивающийся ПСВ, тип LP-STD, марка 650, ТС-СХП-08/2019","Полистирол","ПСВ","02","1900-01-01","9999-12-31","X"
"MT00002015","188609","Полистирол вспенивающийся ""АЛЬФАПОР"" ПСВ, тип LP-STD, марка MIX54, ТС-СХП-12/2020","Полистирол","ПСВ","02","1900-01-01","9999-12-31","X"
"MT00002015","430604","Полистирол вспенивающийся ""АЛЬФАПОР"" ПСВ, тип SE, марка 301, ТУ 2214-019-53505711-2010","Полистирол","ПСВ","02","1900-01-01","9999-12-31","X"
"MT0002006","1182586","Полистирол, марка 537 ТУ 20.16.20-224-05766801-2020","Полистирол","ПСОН","02","1900-01-01","9999-12-31","X"
"MT0002006","1182580","Полистирол, марка 945E ТУ 20.16.20-224-05766801-2020","Полистирол","УППС","02","1900-01-01","9999-12-31","X"
"MT0002006","1264405","Полистирол, марка 500W ТУ 20.16.20-224-05766801-2020","Полистирол","ПСОН","02","1900-01-01","9999-12-31","X"
"MT0002006","1264445","Полистирол, марка 430M ТУ 20.16.20-224-05766801-2020","Полистирол","ПСОН","02","1900-01-01","9999-12-31","X"
"MT00085613","751379","Термоэластопласт бутадиен-стирольный СБС Л30-01A/SBS L30-01A, гранулы, мешок ТУ 2294-018-00148889-2013","ТЭП","Термоэластопласты","02","1900-01-01","9999-12-31","X"
"MT00085613","882047","Термоэластопласт бутадиен-стирольный ДСТ Р 30-00/DST R 30-00, гранулы, МКР ТУ 2294-021-00148889-2014","ТЭП","Термоэластопласты","02","1900-01-01","9999-12-31","X"
"MT00085613","1786315","Термоэластопласт бутадиен-стирольный СБС Р 20-00/SBS R 20-00 гранулы, б/б ТТ-ВСК-067-2024","ТЭП","Термоэластопласты","02","1900-01-01","9999-12-31","X"
"MT00085613","1183798","Блок-сополимер СБС-330Р ТУ 20.17.10-214-05766801-2020","ТЭП","Термоэластопласты","02","1900-01-01","9999-12-31","X"
"MT99999992","1197216","***Фракция метановодородная ТР 2.09.913-17","Прочие продукты нефтехимии","УВС прочее","02","1900-01-01","9999-12-31","X"
"MT99999992","716983","Кислота акриловая, марка Э ТУ 2431-044-52470175-2012","Прочие полуфабрикаты","Кислота акриловая, марка Э","02","1900-01-01","9999-12-31","X"
"MT99999992","1207308","Бисфенол А, марка К (Дифенилолпропан) ТУ 20.14.24-248-00203335-2022","Бисфенол А","Бисфенол А","02","1900-01-01","9999-12-31","X"
"MT99999992","1188319","Термоэластопласт СБС марка Б (полимер после чистки оборудования) ТУ 20.17.10-227-05766801-2021","ТЭП","Термоэластопласты","02","1900-01-01","9999-12-31","X"
"MT99999992","1182626","Метоксиполиэтиленгликоль МПЭГ-1000М ТУ 20.41.20-174-05766801-2018","Гликоли","ПЭГ","02","1900-01-01","9999-12-31","X"
"MT99999992","1182581","Полистирол ТП, марка Б ТУ 20.16.20-195-05766801-2016","Полистирол","УППС","02","1900-01-01","9999-12-31","X"
"MT99999992","732716","Полиэтилентерефталат вторичный (гранулят), ПЭТФ-В-70, ТУ 2226-003-55588670-2011","ПЭТФ","ПЭТФ Целевые марки","02","1900-01-01","9999-12-31","X"
"MT99999992","680042","Пироконденсат, марка A, ТУ 2451-096-70353562-2008","Прочие топливо и топливные добавки","Пироконденсат","02","1900-01-01","9999-12-31","X"
"MT99999992","779291","Фракция ароматических углеводородов ТУ 2411-036-48418772-2013","Прочие топливо и топливные добавки","ФАУ","02","1900-01-01","9999-12-31","X"
"MT99999992","716979","Кислота акриловая, марка П ТУ 2431-044-52470175-2012","Акрилаты","Кислота акриловая, марка П","02","1900-01-01","9999-12-31","X"
"MT99999992","653414","***Жидкие продукты пиролиза (фракция C9 - сырье для нефтеполимерных смол), сорт высший, ТУ 2451-001-68699968-2011","Прочие топливо и топливные добавки","Фракция C9","02","1900-01-01","9999-12-31","X"
"MT99999992","1184733","Фенолят натрия ТУ 2425-170-00203335-2007","Прочие продукты нефтехимии","Прочие продукты нефтехимии","02","1900-01-01","9999-12-31","X"
"MT99999992","1184692","Остаток кубовый жидких продуктов пиролиза, марка В ТУ 2451-216-00203335-2013","Прочие продукты нефтехимии","Прочие продукты нефтехимии","02","1900-01-01","9999-12-31","X"
"MT99999992","1182490","Неонол АФ 9-10 ТУ 20.41.20-229-05766801-2020","Прочие продукты нефтехимии","Неонолы","02","1900-01-01","9999-12-31","X"
"MT99999992","402869","***Флотореагент-оксаль Т-92 ТУ 2452-015-48158319-2009","Прочие продукты нефтехимии","Флотореагент-оксаль","02","1900-01-01","9999-12-31","X"
"MT99999992","1182307","Осушитель-сырец, марка Б ТУ 2422-099-05766801-2000","Прочие продукты нефтехимии","Осушитель - сырец, марка Б","02","1900-01-01","9999-12-31","X"
"MT99999992","1598129","Неонол АФ 9-25 ТУ 20.41.20-229-05766801-2020 с изм.1","Прочие продукты нефтехимии","Неонолы","02","1900-01-01","9999-12-31","X"
"MT99999992","764663","***Триизобутилалюминий технический ТИБА ТУ 2436-054-48158319-2011","Прочие продукты нефтехимии","ТИБА","02","1900-01-01","9999-12-31","X"
"MT00000047","407335","Полиэтилентерефталат ПЭТФ, гранулят, ТУ 2226-001-55588670-2007","ПЭТФ","ПЭТФ Целевые марки","02","1900-01-01","9999-12-31","X"
"MT00000047","314850","Полиэтилентерефталат ВВ (гранулят), марка В ТУ 20.16.40-011-55588670-2018","ПЭТФ","ПЭТФ Целевые марки","02","1900-01-01","9999-12-31","X"
"MT00000047","164205","Полиэтилентерефталат (гранулят) категорированный, марка C ТУ 2226-012-39989731-2011","ПЭТФ","ПЭТФ Прочие","02","1900-01-01","9999-12-31","X"
"MT00000047","1347582","***Полиэтилентерефталат HF (гранулят), марка А ТУ 20.16.40-015-55588670-2023","ПЭТФ","ПЭТФ Целевые марки","02","1900-01-01","9999-12-31","X"
"MT00000047","732716","Полиэтилентерефталат вторичный (гранулят), ПЭТФ-В-70, ТУ 2226-003-55588670-2011","ПЭТФ","ПЭТФ Целевые марки","02","1900-01-01","9999-12-31","X"
